job_role,title,skills,skills_count,experience,salary,company,city,employment,url,skill_SQL,skill_Английский —_B2_—_Средне-продвинутый,skill_Английский_язык,skill_Python,skill_Docker,skill_Git,skill_Kubernetes,skill_PostgreSQL,skill_CI_CD,skill_JavaScript,skill_Английский —_B1_—_Средний,skill_Бизнес-анализ,skill_Английский —_C1_—_Продвинутый,skill_Аналитическое_мышление,skill_REST_API,skill_TypeScript,skill_Linux,skill_React,skill_Figma,skill_Деловая_коммуникация,skill_BPMN,skill_Java,skill_API,skill_UML,skill_Redis,skill_MySQL,skill_Agile,skill_Power_BI,skill_UX,skill_Postman,skill_HTML,skill_Atlassian_Jira,skill_UI,skill_DevOps,skill_PHP,skill_Grafana,skill_Adobe_Photoshop,skill_Разработка_технических_заданий,skill_Русский —_C2_—_В_совершенстве,skill_MS_Excel,skill_User_Story,skill_REST,skill_RabbitMQ,skill_Scrum,skill_Постановка_задач_разработчикам,skill_QA,skill_Project_management,skill_Prometheus,skill_CSS,skill_SOAP,skill_Русский —_C1_—_Продвинутый,skill_Angular,skill_Apache_Kafka,skill_Laravel,skill_Adobe_Illustrator,skill_Анализ_данных,skill_Gitlab,skill_Golang,skill_Node_js,skill_Системный_анализ
Data Analyst,,Python; SQL; Numpy; pandas; Scikit-learn; CatBoost; XGBoost; LightGBM; Matplotlib; Seaborn; Jupyter Notebook; Git,12,1–3 года,,АОKMF Банк,,,https://hh.ru/vacancy/132560452,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,BI; SQL; Data Analysis; Английский — B2 — Средне-продвинутый,4,3–6 лет,,Andersen,,,https://hh.ru/vacancy/132607746,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Аналитическое мышление; Казахский — A1 — Начальный,2,1–3 года,,ТООMed365,,,https://hh.ru/vacancy/132503508,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Python; Big Data; SQL; Apache Airflow; ETL; Power BI; CI/CD; pandas; SoapUI; Git; Grafana,11,1–3 года,,АОAlatau City Bank,,,https://hh.ru/vacancy/131023596,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Анализ данных; Аналитическое мышление; Бизнес-анализ; Работа с базами данных; Сбор и анализ информации; Разработка технических заданий; Работа с большим объемом информации; Big Data,8,3–6 лет,,ТООKazInSys,,,https://hh.ru/vacancy/132616185,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Analyst,,Analytical skills; Accountability; Английский — B2 — Средне-продвинутый,3,1–3 года,,ТООKT&G GLOBAL KAZAKHSTAN (КЕЙ-ТИ-ЭНД-ДЖИ ГЛОБАЛ КАЗАХСТАН),,,https://hh.ru/vacancy/132575390,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,SQL; Apache Kafka; Greenplum; DWH; Power BI; API; SaaS; Работа с базами данных; Capacity Planning,9,3–6 лет,,Choco (ТОО Chocofamily),,,https://hh.ru/vacancy/131916245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Analyst,,Английский язык; Аналитическое мышление; Marketing Analysis; Power BI; SQL; Data Analysis; Русский — C2 — В совершенстве; Английский — C1 — Продвинутый,8,3–6 лет,,Genesis Group AG,,,https://hh.ru/vacancy/132201072,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Cистемы управления базами данных; ETL; Базы данных; Сбор и анализ информации; Работа с базами данных; Power Pivot; MS Excel; Qlik Sense; Power Query,9,1–3 года,,"ТООEUROPHARMA, ТМ (ТОО AK NIET GROUP)",,,https://hh.ru/vacancy/132519878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,SQL; Power BI,2,1–3 года,,ТООЦИТ Орлеу,,,https://hh.ru/vacancy/132459682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,SQL; Clickhouse; ETL/ELT,3,3–6 лет,,ТООBilim Land (Bilim Group),,,https://hh.ru/vacancy/132659489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Data Analysis; Подготовка презентаций; Работа с большим объемом информации; Английский язык; Analytical skills; Financial Modelling; Английский — C1 — Продвинутый,7,3–6 лет,,ТООMondelez Kazakhstan LLP,,,https://hh.ru/vacancy/132613454,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,SQL; Python; Apache Airflow; API; JSON; HTTP; REST API; Figma; pandas; DAX; Математическая статистика; Английский — A2 — Элементарный,12,1–3 года,,ТООЦентр стратегических инициатив,,,https://hh.ru/vacancy/132604103,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Google Analytics; Google Tag Manager; Amplitude; SQL; Английский — B2 — Средне-продвинутый; Русский — C2 — В совершенстве,6,3–6 лет,,Genesis Group AG,,,https://hh.ru/vacancy/132201560,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Python; Математическая статистика; Исследовательский анализ данных; SQL,4,3–6 лет,,ТООМикрофинансовая организация ФРИДОМ ФИНАНС Кредит,,,https://hh.ru/vacancy/131986700,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
